robot,grid_x,grid_y,orientation,action_1,action_2,action_3,action_4,action_5
robot1,8,8,N,0,0,0,0,-2.191358024691358
robot1,3,9,SE,-7.191358024691358,0,0,0,0
robot2,-8,-8,N,-82556.76832208179,-83046.23910244869,-83503.3096231607,-84013.21425874975,-58428.5908123362
robot3,8,-8,N,0,0,0,-2.191358024691358,0
robot3,8,-5,E,-7000.4710077596565,-2174.9893874597096,-6296.000476097339,-6254.60322672827,-6533.903175844371
robot4,-8,8,N,-2.191358024691358,0,0,0,0
robot4,-7,3,W,-444.9441254340278,-477.80251629412606,-510.22893518518515,-290.43541787229935,-554.865660120081
robot3,8,-5,SE,-2500.836715093561,-2218.1886677126936,-2209.6425395520664,-2201.2328208522104,-2088.472733722244
robot1,8,8,S,-79382.43467981003,-80196.14842993453,-68347.49510561021,-79854.26178097652,-79544.43806649087
robot4,-8,8,W,-60081.07272042126,-85011.91484037964,-86284.87586629263,-87019.99880230814,-85161.96473547988
robot2,-7,-8,N,-45622.50968025021,-43701.30457924335,-24865.8071830592,-44554.738337740826,-43733.91066443884
robot3,8,-4,E,-3158.9789603635672,-2126.9129408103327,-3465.6846661418367,-3100.541127740597,-3410.167707855806
robot3,8,-4,SE,-772.4274926582734,-1095.0077917749243,-847.1354302810882,-603.4782925727868,-733.1888197645719
robot1,7,8,S,-20524.314928788837,-39563.958915847514,-39296.62985022743,-40380.592718945714,-39369.451025967785
robot3,7,-4,SE,-2871.872639576063,-2974.3349193356717,-2761.3276559890455,-1403.3367805675214,-2640.6036917439815
robot2,-6,-8,N,-10966.015502094542,-16124.04490299594,-14902.543519835774,-15532.290435693669,-14308.504275459974
robot3,7,-3,SE,-1017.5090814307091,-854.7349975696027,-745.2617563508379,-817.6482421049217,-956.0398232997392
robot4,-8,7,W,-47158.21577411419,-29517.27500658013,-47140.922435757755,-45886.01302051249,-47628.978701930726
robot2,-6,-8,NW,-10812.436505620803,-9278.41915047444,-10791.05414752859,-10720.713788958987,-12058.982840066263
